fitness_true,E,W,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map
0.4,200000.0,1.0,1.0,4,14,48.024012006003,126.06303151575787,0.058101768314687836,0.5026305139619587,ok,0.21389917796185676,14095.707176025368
0.4,200000.0,1.0,1.0,5,14,48.024012006003,126.06303151575787,0.06871074990764685,0.5040861072353996,ok,0.20979670049392282,14559.504289331577
0.4,200000.0,1.0,1.0,6,14,48.024012006003,126.06303151575787,0.06422546012269939,0.4901863354037267,ok,0.19830108281229292,14813.055640272982
0.4,200000.0,1.0,1.0,7,14,48.024012006003,126.06303151575787,0.06565424144807486,0.5067942583732058,ok,0.2016350091797503,15050.405699227944
0.4,200000.0,1.0,1.0,8,14,48.024012006003,126.06303151575787,0.05808887598024978,0.4937252311756935,ok,0.20137035067646988,14028.582117665974
0.4,200000.0,1.0,1.0,9,14,48.024012006003,126.06303151575787,0.06618240516545601,0.503370786516854,ok,0.19625307401581948,15380.713004633035
0.4,200000.0,1.0,1.0,10,14,48.024012006003,126.06303151575787,0.06780040277466995,0.5071269487750557,ok,0.1974829996789627,15365.012938359969
0.4,200000.0,1.0,1.0,11,14,48.024012006003,126.06303151575787,0.061903246339910886,0.5184510250569476,ok,0.1964177856381297,14982.14127098115
0.4,200000.0,1.0,1.0,12,14,48.024012006003,126.06303151575787,0.06152497808939527,0.49603677869372226,ok,0.201670886135393,14546.584834258756
0.4,200000.0,1.0,1.0,13,14,48.024012006003,126.06303151575787,0.06703524533517623,0.4977666607110952,ok,0.1984494050613081,15449.85361334996
0.4,200000.0,1.0,1.0,14,14,48.024012006003,126.06303151575787,0.060365135453474675,0.5074476142388286,ok,0.18997587520465925,14778.759776820014
0.4,200000.0,1.0,1.0,15,14,48.024012006003,126.06303151575787,0.06410489892551448,0.5025333083130044,ok,0.1991306137556927,15013.563743084089
0.4,200000.0,1.0,1.0,16,14,48.024012006003,126.06303151575787,0.06378846728413505,0.5122425184609405,ok,0.19573325216657128,15260.181578333
0.4,200000.0,1.0,1.0,17,14,48.024012006003,126.06303151575787,0.06344628695025234,0.5003675930010293,ok,0.20376474142383863,14529.923096292623
0.4,200000.0,1.0,1.0,18,14,48.024012006003,126.06303151575787,0.07465382299819386,0.505978817902289,ok,0.19024509858582875,17344.467465160124
0.4,200000.0,1.0,1.0,19,14,48.024012006003,126.06303151575787,0.06684350132625995,0.4973340687626402,ok,0.1982182044909176,15334.189544258788
0.4,1000000.0,1.0,1.0,0,14,30.015007503751875,108.05402701350674,0.1669345579793341,0.506280843427546,ok,1.0,49704.78615275778
0.4,1000000.0,1.0,1.0,1,14,30.015007503751875,108.05402701350674,0.16477530640036314,0.5118858954041204,ok,1.0,49122.61816084722
0.4,1000000.0,1.0,1.0,2,14,30.015007503751875,108.05402701350674,0.17089018843404807,0.4968579807289485,ok,1.0,50337.289025188846
0.4,1000000.0,1.0,1.0,3,14,30.015007503751875,108.05402701350674,0.17026834481120873,0.5041079812206573,ok,1.0,51096.34537484232
0.4,1000000.0,1.0,1.0,4,14,30.015007503751875,108.05402701350674,0.16836354606406753,0.4952458021444467,ok,1.0,49930.72660095685
0.4,1000000.0,1.0,1.0,5,14,30.015007503751875,108.05402701350674,0.16474066111260413,0.5038409399005874,ok,1.0,48788.85648781715
0.4,1000000.0,1.0,1.0,6,14,30.015007503751875,108.05402701350674,0.16580418132891742,0.49366463715649167,ok,1.0,48296.172197058884
0.4,1000000.0,1.0,1.0,7,14,30.015007503751875,108.05402701350674,0.15631868131868132,0.5090840272520818,ok,0.38826662431800635,45665.626503895845
0.4,1000000.0,1.0,1.0,8,14,30.015007503751875,108.05402701350674,0.18285714285714286,0.4854832782065417,ok,0.3483007044957243,55377.8690524332
0.4,1000000.0,1.0,1.0,9,14,30.015007503751875,108.05402701350674,0.1696700859439978,0.5089142735133981,ok,1.0,51092.74059507532
0.4,1000000.0,1.0,1.0,10,14,30.015007503751875,108.05402701350674,0.16170740347148424,0.49244444444444446,ok,1.0,46531.413302774265
0.4,1000000.0,1.0,1.0,11,14,30.015007503751875,108.05402701350674,0.1634795650543682,0.505254424778761,ok,1.0,46748.49835703538
0.4,1000000.0,1.0,1.0,12,14,30.015007503751875,108.05402701350674,0.16256639642158233,0.498539435248296,ok,1.0,47920.16611064391
0.4,1000000.0,1.0,1.0,13,14,30.015007503751875,108.05402701350674,0.1653367971794396,0.5083150984682714,ok,0.3338849644510881,49440.97704240705
0.4,1000000.0,1.0,1.0,14,14,30.015007503751875,108.05402701350674,0.16304646686829805,0.4992636229749632,ok,1.0,47550.76985799597
0.4,1000000.0,1.0,1.0,15,14,30.015007503751875,108.05402701350674,0.1621457796635854,0.49927461139896373,ok,1.0,47687.36396256712
0.4,1000000.0,1.0,1.0,16,14,30.015007503751875,108.05402701350674,0.16401734104046242,0.5115702479338843,ok,1.0,47008.920763444075
0.4,1000000.0,1.0,1.0,17,14,30.015007503751875,108.05402701350674,0.15922945623018775,0.48902346707040123,ok,1.0,45812.79918166044
0.4,1000000.0,1.0,1.0,18,14,30.015007503751875,108.05402701350674,0.17357683448502798,0.49848392965433597,ok,1.0,52622.201500377945
0.4,1000000.0,1.0,1.0,19,14,30.015007503751875,108.05402701350674,0.1683748169838946,0.5023890784982935,ok,0.34843926943453524,50928.2754373497
0.5,200000.0,1.0,1.0,0,14,42.021010505252626,120.0600300150075,0.1375027239049902,0.4993871476098757,ok,1.0,35772.16821917218
0.5,200000.0,1.0,1.0,1,14,42.021010505252626,120.0600300150075,0.13136011275546158,0.4995669120831529,ok,1.0,34488.58692204311
0.5,200000.0,1.0,1.0,2,14,42.021010505252626,120.0600300150075,0.13370113863129476,0.5005919494869772,ok,1.0,35868.69427299925
0.5,200000.0,1.0,1.0,3,14,42.021010505252626,120.0600300150075,0.12600246761258482,0.511291348600509,ok,0.2513574606284718,34038.52063100219
0.5,200000.0,1.0,1.0,4,14,42.021010505252626,120.0600300150075,0.1275,0.48884470952065384,ok,0.25466035892847605,34521.699876518
0.5,200000.0,1.0,1.0,5,14,42.021010505252626,120.0600300150075,0.12855254461335097,0.5035971223021583,ok,1.0,33653.13244387094
0.5,200000.0,1.0,1.0,6,14,42.021010505252626,120.0600300150075,0.12264150943396226,0.5123321123321123,ok,0.2567152659917926,35709.20810537025
0.5,200000.0,1.0,1.0,7,14,42.021010505252626,120.0600300150075,0.13555513948698747,0.4967462039045553,ok,0.2600099010732777,37293.26791518342
0.5,200000.0,1.0,1.0,8,14,42.021010505252626,120.0600300150075,0.1377551020408163,0.5072908672294705,ok,1.0,36729.35453937142
0.5,200000.0,1.0,1.0,9,14,42.021010505252626,120.0600300150075,0.1259178678270329,0.49329123914759276,ok,0.2579163930567446,34280.459050057325
0.5,200000.0,1.0,1.0,10,14,42.021010505252626,120.0600300150075,0.12594784538561124,0.48065173116089616,ok,1.0,33074.39148123659
0.5,200000.0,1.0,1.0,11,14,42.021010505252626,120.0600300150075,0.13720686034301716,0.504528191644756,ok,1.0,36894.659579792984
0.5,200000.0,1.0,1.0,12,14,42.021010505252626,120.0600300150075,0.13680318543799772,0.509771986970684,ok,0.24567609137862761,36075.72035845273
0.5,200000.0,1.0,1.0,13,14,42.021010505252626,120.0600300150075,0.1338144068869477,0.5282651072124757,ok,1.0,35490.683559202014
0.5,200000.0,1.0,1.0,14,14,42.021010505252626,120.0600300150075,0.12882787750791974,0.5,ok,0.26272124970783395,34557.77478473252
0.5,200000.0,1.0,1.0,15,14,42.021010505252626,120.0600300150075,0.13541309564621187,0.5048128342245989,ok,0.23465863608576004,37239.57386536614
0.5,200000.0,1.0,1.0,16,14,42.021010505252626,120.0600300150075,0.1305816686251469,0.5141444114737883,ok,0.260061626656733,35296.42494687396
0.5,200000.0,1.0,1.0,17,14,42.021010505252626,120.0600300150075,0.13126843657817108,0.48238057948316365,ok,1.0,34756.74596479965
0.5,200000.0,1.0,1.0,18,14,42.021010505252626,120.0600300150075,0.13333333333333333,0.49710837314558715,ok,1.0,35466.685786590155
0.5,200000.0,1.0,1.0,19,14,42.021010505252626,120.0600300150075,0.14513661202185793,0.48675616835994195,ok,0.24493046437906935,40458.92601945456
0.5,1000000.0,1.0,1.0,0,14,24.0120060030015,102.05102551275637,0.16764557811713374,0.4901039919490104,ok,1.0,50174.0909702037
0.5,1000000.0,1.0,1.0,1,14,24.0120060030015,102.05102551275637,0.1566542109801667,0.5031937544357701,ok,1.0,44539.19591339605
0.5,1000000.0,1.0,1.0,2,14,24.0120060030015,102.05102551275637,0.1690468282962471,0.5028169014084507,ok,1.0,50881.600588896246
0.5,1000000.0,1.0,1.0,3,14,24.0120060030015,102.05102551275637,0.15650525087514586,0.50515329419439,ok,1.0,45138.48590036159
0.5,1000000.0,1.0,1.0,4,14,24.0120060030015,102.05102551275637,0.16491794457896153,0.5019420903954802,ok,1.0,49298.75406761977
